,Latitude,Longitude,TVD_FT,Vintage,LateralLength_FT,WellsPerSectionSameZone,Payzone_FT,GammaRay_API,BulkDensity_GPerCC,Resistivity_OHMSM,DensityPorosity_PCT,EffectivePorosity_PCT,ClayVolume_PCT,NonClayVolume_PCT,WaterSaturation_PCT,PhiH_FT,HCPV_PCT,HeightOfHCPV_FT,TotalOrganicCarbon_WTPCT,CONDENSATE,DRY GAS,OIL,WET GAS,1ST BONE SPRING,2ND BONE SPRING,2ND BONE SPRING SAND,3RD BONE SPRING,3RD BONE SPRING SAND,LOWER AVALON,MIDDLE AVALON,UPPER AVALON,WOLFCAMP A LOWER,WOLFCAMP A UPPER,WOLFCAMP B LOWER,WOLFCAMP B UPPER,WOLFCAMP C,WOLFCAMP D,CHILD,CO-COMPLETED,PARENT,STANDALONE,EURWH_MBOE,OilEURWH_MBBL,GasEURWH_BCF
0,31.685214,-103.989074,9899.0,2022,7887.0,2.0,169.0,68.94,2.55,184.38,0.09,0.074,0.19,0.74,0.4,12.47,0.048,8.2,2.47,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1951,620,8.0
1,31.70919,-104.114174,9146.0,2018,7408.0,3.0,177.0,64.91,2.56,138.1,0.086,0.069,0.19,0.74,0.42,12.3,0.036,6.4,2.29,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,919,369,3.3
2,31.497941,-103.145184,10783.0,2019,10706.0,3.0,120.0,86.17,2.55,13.54,0.095,0.069,0.27,0.64,0.31,8.28,0.051,6.1,3.04,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,421,421,0.0
3,31.796166,-103.334038,12248.0,2020,4644.0,1.0,126.0,91.64,2.51,86.16,0.115,0.085,0.23,0.66,0.23,10.97,0.078,9.9,3.9,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,714,642,0.4
4,31.724241,-103.845781,10500.0,2022,10151.0,2.0,154.0,88.95,2.56,157.49,0.094,0.075,0.19,0.74,0.31,11.53,0.054,8.3,2.79,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1037,597,2.6
5,31.955837,-103.60951,10583.0,2022,4810.0,6.0,341.0,80.23,2.57,32.05,0.082,0.065,0.21,0.72,0.37,22.15,0.041,13.9,2.39,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,595,311,1.7
7,31.999398,-103.651591,9290.0,2020,9847.0,2.0,346.0,91.2,2.48,472.99,0.134,0.102,0.23,0.67,0.23,35.22,0.078,27.1,3.81,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1043,312,4.4
8,31.577235,-103.801045,10861.0,2019,9652.0,5.0,293.0,71.82,2.57,88.71,0.099,0.072,0.28,0.64,0.53,20.97,0.034,10.0,2.43,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1910,707,7.2
9,31.396237,-103.572073,10467.0,2021,10350.0,4.0,147.0,102.41,2.55,157.64,0.093,0.074,0.2,0.73,0.31,10.85,0.056,8.2,3.02,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1309,787,3.1
10,31.870651,-104.004753,8227.0,2022,7173.0,4.0,293.0,83.53,2.57,39.23,0.083,0.066,0.18,0.74,0.31,19.41,0.04,11.9,2.01,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,26,6,0.1
